,LastName,Week,Stage,Historical_Cumulative,WeeklyGoal,Current_Cumulative,GoalVariance
4243,GregoryGBC,32,Adm,60.666666666666664,82.82051282051282,77.0,-5.820512820512818
4244,GregoryGBC,33,Adm,61.333333333333336,84.17948717948718,77.0,-7.179487179487182
4245,GregoryGBC,34,Adm,62.333333333333336,85.87179487179488,77.0,-8.871794871794876
4246,GregoryGBC,35,Adm,63.0,87.23076923076923,77.0,-10.230769230769226
4247,GregoryGBC,36,Adm,63.333333333333336,88.25641025641026,78.0,-10.256410256410263
4248,GregoryGBC,37,Adm,63.666666666666664,89.28205128205128,79.0,-10.282051282051285
4249,GregoryGBC,38,Adm,65.0,91.3076923076923,79.0,-12.307692307692307
4250,GregoryGBC,39,Adm,65.0,92.0,79.0,-13.0
4251,GregoryGBC,40,Adm,65.33333333333333,93.02564102564102,79.0,-14.025641025641022
4252,GregoryGBC,41,Adm,65.66666666666667,94.05128205128206,79.0,-15.051282051282058
4253,GregoryGBC,42,Adm,65.66666666666667,94.74358974358975,79.0,-15.743589743589752
4254,GregoryGBC,43,Adm,65.66666666666667,95.43589743589745,79.0,-16.435897435897445
4255,GregoryGBC,44,Adm,65.66666666666667,96.12820512820514,79.0,-17.12820512820514
4256,GregoryGBC,45,Adm,67.33333333333333,98.48717948717947,79.0,-19.487179487179475
4257,GregoryGBC,46,Adm,67.66666666666667,99.51282051282053,79.0,-20.512820512820525
4258,GregoryGBC,47,Adm,67.66666666666667,100.2051282051282,79.0,-21.205128205128204
4259,GregoryGBC,48,Adm,67.66666666666667,100.89743589743591,79.0,-21.897435897435912
4260,GregoryGBC,49,Adm,68.33333333333333,102.25641025641025,79.0,-23.25641025641025
4261,GregoryGBC,50,Adm,69.0,103.61538461538461,79.0,-24.615384615384613
4262,GregoryGBC,51,Adm,69.0,104.3076923076923,79.0,-25.307692307692307
4263,GregoryGBC,52,Adm,69.0,105.0,79.0,-26.0
4264,GregoryGBC,1,Com,9.0,9.692307692307692,7.0,-2.6923076923076916
4265,GregoryGBC,2,Com,9.0,10.384615384615385,8.0,-2.384615384615385
4266,GregoryGBC,3,Com,9.0,11.076923076923077,10.0,-1.0769230769230766
4267,GregoryGBC,4,Com,9.333333333333334,12.102564102564102,11.0,-1.1025641025641022
4268,GregoryGBC,5,Com,9.333333333333334,12.794871794871796,11.0,-1.7948717948717956
4269,GregoryGBC,6,Com,10.666666666666666,14.820512820512821,12.0,-2.820512820512821
4270,GregoryGBC,7,Com,11.333333333333334,16.17948717948718,12.0,-4.179487179487179
