,Week,Stage,Historical_Cumulative,Current_Cumulative,GoalVariance
69,18,Adm,581.0,736.0,49.19230769230762
70,19,Adm,643.0,752.0,-2.685897435897459
71,20,Adm,700.0,833.0,15.43589743589746
72,21,Adm,768.0,872.0,-19.442307692307736
73,22,Adm,830.3333333333334,1004.0,44.34615384615381
74,23,Adm,944.3333333333334,1158.0,78.46794871794873
75,24,Adm,1036.6666666666667,1262.0,84.25641025641016
76,25,Adm,1113.6666666666667,1348.0,87.37820512820508
77,26,Adm,1153.6666666666667,1381.0,74.5
78,27,Adm,1174.0,1446.0,113.28846153846143
79,28,Adm,1199.3333333333333,1492.0,128.0769230769231
80,29,Adm,1228.0,1516.0,117.53205128205127
81,30,Adm,1261.6666666666667,1526.0,87.98717948717945
82,31,Adm,1292.6666666666667,1555.0,80.10897435897414
83,32,Adm,1314.3333333333333,1584.0,81.56410256410254
84,33,Adm,1345.3333333333333,1620.0,80.68589743589746
85,34,Adm,1368.3333333333333,1635.0,66.80769230769238
86,35,Adm,1385.3333333333333,1658.0,66.9294871794873
87,36,Adm,1409.3333333333333,1682.0,61.05128205128199
88,37,Adm,1426.0,1706.0,62.50641025641016
89,38,Adm,1440.0,1717.0,53.62820512820508
90,39,Adm,1452.0,1733.0,51.75
91,40,Adm,1461.3333333333333,1754.0,57.53846153846143
92,41,Adm,1474.3333333333333,1767.0,51.66025641025635
93,42,Adm,1488.0,1779.0,44.11538461538453
94,43,Adm,1500.6666666666667,1784.0,30.570512820512704
95,44,Adm,1515.0,1804.0,30.358974358974365
96,45,Adm,1537.6666666666667,1822.0,19.81410256410254
97,46,Adm,1556.6666666666667,1837.0,9.935897435897232
98,47,Adm,1566.0,1846.0,3.7243589743588927
99,48,Adm,1572.3333333333333,1856.0,1.5128205128205536
100,49,Adm,1586.6666666666667,1876.0,1.3012820512819872
101,50,Adm,1600.3333333333333,1907.0,12.756410256410163
102,51,Adm,1613.6666666666667,1907.0,-6.455128205128403
103,52,Adm,1618.3333333333333,1907.0,-17.0
104,1,Com,92.0,124.0,25.884615384615387
105,2,Com,99.33333333333333,133.0,21.435897435897445
106,3,Com,102.33333333333333,154.0,33.32051282051282
107,4,Com,110.66666666666667,173.0,37.87179487179486
108,5,Com,119.0,189.0,39.423076923076934
109,6,Com,136.0,213.0,40.30769230769232
110,7,Com,149.33333333333334,236.0,43.858974358974365
111,8,Com,169.66666666666666,266.0,47.41025641025641
112,9,Com,202.0,308.0,50.96153846153845
113,10,Com,244.33333333333334,354.0,48.5128205128205
114,11,Com,289.6666666666667,398.0,41.06410256410254
115,12,Com,353.3333333333333,484.0,57.28205128205127
116,13,Com,417.0,530.0,33.5
117,14,Com,418.3333333333333,545.0,41.0512820512821
118,15,Com,444.6666666666667,586.0,49.60256410256409
119,16,Com,499.0,641.0,44.15384615384619
120,17,Com,565.3333333333334,702.0,32.705128205128176
121,18,Com,632.6666666666666,767.0,24.256410256410277
122,19,Com,687.6666666666666,825.0,21.141025641025635
123,20,Com,746.6666666666666,882.0,13.025641025641107
124,21,Com,824.3333333333334,941.0,-11.756410256410277
125,22,Com,902.6666666666666,1067.0,29.794871794871824
126,23,Com,1019.6666666666666,1236.0,75.6794871794873
127,24,Com,1121.6666666666667,1317.0,48.56410256410254
128,25,Com,1196.0,1390.0,41.11538461538453
129,26,Com,1242.6666666666667,1436.0,34.33333333333326
130,27,Com,1266.0,1492.0,60.88461538461547
131,28,Com,1302.3333333333333,1535.0,61.43589743589746
132,29,Com,1340.6666666666667,1559.0,40.987179487179446
133,30,Com,1364.0,1570.0,22.538461538461434
134,31,Com,1394.0,1605.0,21.423076923076906
135,32,Com,1420.6666666666667,1641.0,24.641025641025635
136,33,Com,1453.3333333333333,1679.0,23.858974358974365
137,34,Com,1480.0,1706.0,18.076923076923094
138,35,Com,1498.3333333333333,1728.0,15.628205128205082
139,36,Com,1522.3333333333333,1746.0,3.5128205128205536
140,37,Com,1538.6666666666667,1777.0,12.06410256410254
141,38,Com,1555.3333333333333,1790.0,2.2820512820512704
142,39,Com,1573.0,1817.0,5.5
143,40,Com,1584.3333333333333,1834.0,5.0512820512822145
144,41,Com,1594.0,1846.0,1.2692307692307168
145,42,Com,1608.0,1859.0,-5.846153846153811
146,43,Com,1624.3333333333333,1862.0,-25.294871794871597
147,44,Com,1639.6666666666667,1886.0,-22.743589743589837
148,45,Com,1673.3333333333333,1903.0,-45.52564102564088
